,dataset,M=2,M=5,M=10,M=20,M=50,M=100,M=all
0,bro,16.14022908712252,29.46893439777854,36.931620964942724,43.00590072891357,50.711558486636584,54.42554668517875,56.95938910100659
1,dotstar09,20.42423769788661,40.78608749902519,52.42922872962645,61.84980113857911,71.15339624112922,76.5577477969274,82.06347968494111
2,poweren,11.733568592853999,31.605646228495814,45.34627260696956,55.822673136303486,64.9095721217468,69.54124393471548,77.65769739744155
3,protomata,8.048579662412507,15.417867435158499,20.25524907369288,23.857554549197204,26.430629888843143,28.01564429806504,29.641827912721283
4,ranges1,20.454368629891846,41.20438808060375,52.85147436396172,61.68209756477087,70.86283357970902,76.55022173811561,82.7588889753365
5,tcp,22.542841348811493,40.950801547816475,50.56937534549475,58.407960199004975,65.66058595909342,70.11608623548922,74.40574903261471
