,dataset,M=2,M=5,M=10,M=20,M=50,M=100,M=all
0,bro,8.941264496820054,16.236438458660686,19.566030677141782,21.84811073699963,26.861204638982414,28.020950243172464,30.265619154508045
1,dotstar09,10.696835300308209,20.950161617680223,27.061565060512677,32.57160039088927,39.75043223333083,45.28301886792453,53.70217244230624
2,poweren,5.101143359718563,12.401055408970976,17.084432717678098,20.492524186455583,23.394898856640282,25.43975373790677,29.52946350043976
3,protomata,3.132992327365727,6.223358908780909,8.290707587382784,10.038363171355499,11.530264279624888,12.169650468883205,13.043478260869563
4,ranges1,10.621336459554513,20.805001953888237,26.9558421258304,31.692067213755365,37.86635404454866,43.48573661586558,53.74755763970301
5,tcp,14.429806504734458,24.77356937011116,29.6932894195142,33.58377933305887,36.692054343351174,38.88431453272951,43.382050226430636
